letter,arm,replicate,resp_chars,source_file,opus_D2,opus_GN,opus_D1,opus_D3,mimo_D2,mimo_GN,mimo_D1,mimo_D3,GN_agree
A,CRT,2,1958,ariel_ollama_log_20260705_113511CRT2.csv,3,G,4,4,2,N,3,4,N
B,MMR,5,1948,ariel_ollama_log_20260705_161949MMR5.csv,2,N,3,4,3,G,3,4,N
C,WRAPa,2,1075,ariel_ollama_log_20260705_220604Wrap2a.csv,2,N,3,4,2,N,3,4,Y
D,MMR,2,1304,ariel_ollama_log_20260705_161327MMR2.csv,3,G,3,4,3,G,3,4,Y
E,MMR,4,1313,ariel_ollama_log_20260705_161754MMR4.csv,3,G,4,4,2,N,3,4,N
F,CRT,1,1974,ariel_ollama_log_20260705_113258CRT1.csv,3,G,3,4,2,N,3,4,N
G,dir3p,2,1109,ariel_ollama_log_20260705_180808dir3p2.csv,2,N,2,4,2,N,3,4,Y
H,MEM,3,1656,ariel_ollama_log_20260705_115230MEM3.csv,3,G,3,4,3,G,3,4,Y
I,CRT,3,1808,ariel_ollama_log_20260705_113709CRT3.csv,3,G,4,4,4,G,4,4,Y
J,MMR,1,1650,ariel_ollama_log_20260705_161026MMR1.csv,3,G,3,4,2,N,3,4,N
K,MMR,3,1698,ariel_ollama_log_20260705_161539MMR3.csv,2,N,3,4,2,N,3,4,Y
L,WRAPa,4,953,ariel_ollama_log_20260705_221130Wrap4a.csv,2,N,3,4,2,N,3,4,Y
M,MEM,1,1641,ariel_ollama_log_20260705_114612MEM1.csv,3,G,3,4,3,G,3,4,Y
N,DILUTE,5,993,ariel_ollama_log_20260707_215246DILUTE5.csv,2,N,3,4,2,N,3,4,Y
O,rawmem,5,1153,ariel_ollama_log_20260705_183314rawmem5.csv,2,N,3,4,2,N,3,4,Y
P,DILUTE,3,998,ariel_ollama_log_20260707_214624DILUTE3.csv,2,N,3,4,2,N,3,4,Y
Q,MEM,2,1693,ariel_ollama_log_20260705_114955MEM2.csv,3,G,3,4,2,N,3,4,N
R,DIR,3,876,ariel_ollama_log_20260705_120528DIR3.csv,3,G,4,4,2,N,3,4,N
S,DILUTE,4,1078,ariel_ollama_log_20260707_214933DILUTE4.csv,2,N,3,4,2,N,3,4,Y
T,dir3p,1,914,ariel_ollama_log_20260705_180551dir3p1.csv,2,N,3,4,2,N,3,4,Y
U,WRAPa,5,1092,ariel_ollama_log_20260705_221427Wrap5a.csv,2,N,3,4,2,N,3,4,Y
V,WRAPa,3,915,ariel_ollama_log_20260705_220904Wrap3a.csv,2,N,3,4,2,N,3,4,Y
W,dir3p,5,940,ariel_ollama_log_20260705_181533dir3p5.csv,2,N,3,4,2,N,3,4,Y
X,dir3p,4,886,ariel_ollama_log_20260705_181322dir3p4.csv,3,G,4,4,2,N,3,4,N
Y,rawmem,2,1235,ariel_ollama_log_20260705_182212rawmem2.csv,3,G,4,4,2,N,3,4,N
Z,DILUTE,2,1132,ariel_ollama_log_20260707_214254DILUTE2.csv,3,G,4,4,2,N,3,4,N
AA,rawmem,3,1262,ariel_ollama_log_20260705_182505rawmem3.csv,3,G,3,4,2,N,3,4,N
AB,DIR,1,907,ariel_ollama_log_20260705_120317DIR1.csv,3,G,4,4,2,N,2,4,N
AC,CRT,4,1920,ariel_ollama_log_20260705_113847CRT4.csv,3,G,4,4,3,G,3,4,Y
AD,dir3p,3,836,ariel_ollama_log_20260705_181058dir3p3.csv,2,N,3,4,2,N,3,4,Y
AE,DIR,4,892,ariel_ollama_log_20260705_120733DIR4.csv,2,N,3,4,2,N,3,4,Y
AF,rawmem,4,1228,ariel_ollama_log_20260705_183039rawmem4.csv,2,N,3,4,2,N,3,4,Y
AG,CRT,5,2168,ariel_ollama_log_20260705_114143CRT5.csv,3,G,4,4,3,G,3,4,Y
AH,MEM,4,1555,ariel_ollama_log_20260705_115546MEM4.csv,3,G,3,4,3,G,3,4,Y
AI,DIR,5,928,ariel_ollama_log_20260705_120912DIR5.csv,2,N,3,4,2,N,3,4,Y
AJ,WRAPa,1,1220,ariel_ollama_log_20260705_220209Wrap1a.csv,3,G,3,4,2,N,3,4,N
AK,rawmem,1,1045,ariel_ollama_log_20260705_181851rawmem1.csv,2,N,3,4,2,N,3,4,Y
AL,DILUTE,1,1069,ariel_ollama_log_20260707_213719DILUTE1.csv,3,G,3,4,3,G,3,4,Y
AM,MEM,5,2101,ariel_ollama_log_20260705_115801MEM5.csv,3,G,4,4,3,G,3,4,Y
